,"Fun/GHC","Java int","Java double","Java boxed","C","Oberon JIT","Oberon interp","GeomLab","GeomLab -i","Python","GHC -O0","GHC -O"
17,0.828,0.084,0.092,0.156,0.004,0.008,0.032,1.476,1.36,0.116,0.012,0
18,1.688,0.096,0.084,0.16,0.004,0.012,0.064,1.752,1.568,0.224,0.024,0.004
19,3.384,0.104,0.1,0.18,0.008,0.012,0.148,1.82,2.148,0.424,0.056,0.008
20,6.764,0.104,0.112,0.172,0.016,0.036,0.248,1.756,2.972,0.824,0.116,0.02
21,13.565,0.108,0.108,0.216,0.024,0.076,0.5,2.012,4.604,1.648,0.236,0.032
22,27.026,0.132,0.128,0.296,0.06,0.144,1.012,2.108,8.001,3.284,0.472,0.076
23,53.931,0.152,0.192,0.408,0.108,0.288,2.012,2.472,15.425,6.544,0.948,0.156
24,,0.208,0.252,0.608,0.22,0.584,4.02,2.988,28.966,13.081,1.884,0.292
25,,0.396,0.484,1.18,0.444,1.16,8.065,4.416,,26.198,3.78,0.584
26,,0.624,0.848,2.116,0.876,2.284,16.093,7.564,,,7.58,1.176
27,,0.956,1.364,3.76,1.792,4.64,32.246,12.537,,,15.105,2.344
28,,2.552,3.28,8.361,3.536,9.241,,24.482,,,30.286,4.696
29,,4.408,6.112,15.941,7.128,18.493,,43.803,,,,9.361
30,,6.964,10.257,29.506,14.089,37.222,,,,,,18.717
31,,19.789,25.726,,28.55,,,,,,,37.542
,,,,,,,,,,,,
,23,31,31,30,31,30,27,29,24,25,28,31
,53.931,19.789,25.726,29.506,28.55,37.222,32.246,43.803,28.966,26.198,30.286,37.542
,1.56E+05,1.09E+08,8.35E+07,3.64E+07,7.52E+07,2.88E+07,4.16E+06,1.23E+07,5.79E+05,1.28E+06,8.86E+06,5.72E+07
